schemaVersion,recordType,content.rank,content.title,content.authors,content.paper_url,content.pdf_url,content.github_url,content.github_stars,content.huggingface_url,content.huggingface_upvotes,content.source_platform,content.has_code,content.impact_score,content.published_date,collectedAt
1.0,RESEARCH_PAPER,1,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,"DeepSeek-AI, Daya Guo, Dejian Yang, Haowei Zhang, Junxiao Song",https://arxiv.org/abs/2501.12948,https://arxiv.org/pdf/2501.12948.pdf,https://github.com/deepseek-ai/DeepSeek-R1,82500,https://huggingface.co/papers/2501.12948,1240,Hugging Face Daily Papers,True,113500.0,2025-01-22T00:00:00Z,2026-09-12T07:57:10.462504+00:00
1.0,RESEARCH_PAPER,2,Robust Speech Recognition via Large-Scale Weak Supervision (Whisper),"Alec Radford, Jong Wook Kim, Tao Xu, Greg Brockman, Christine McLeavey, Ilya Sutskever",https://arxiv.org/abs/2212.04356,https://arxiv.org/pdf/2212.04356.pdf,https://github.com/openai/whisper,74500,https://huggingface.co/papers/2212.04356,530,ArXiv,True,87750.0,2022-12-06T00:00:00Z,2026-09-12T07:57:10.462637+00:00
1.0,RESEARCH_PAPER,3,High-Resolution Image Synthesis with Latent Diffusion Models (Stable Diffusion),"Robin Rombach, Andreas Blattmann, Dominik Lorenz, Patrick Esser, Bjorn Ommer",https://arxiv.org/abs/2112.10752,https://arxiv.org/pdf/2112.10752.pdf,https://github.com/CompVis/latent-diffusion,67300,https://huggingface.co/papers/2112.10752,610,Papers with Code,True,82550.0,2021-12-20T00:00:00Z,2026-09-12T07:57:10.462626+00:00
1.0,RESEARCH_PAPER,4,Attention Is All You Need,"Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N. Gomez",https://arxiv.org/abs/1706.03762,https://arxiv.org/pdf/1706.03762.pdf,https://github.com/tensorflow/tensor2tensor,48200,https://huggingface.co/papers/1706.03762,720,ArXiv,True,66200.0,2017-06-12T00:00:00Z,2026-09-12T07:57:10.462615+00:00
1.0,RESEARCH_PAPER,5,The Llama 3 Herd of Models,"Meta Llama Team, Aaron Grattafiori, Abhimanyu Dubey, Abhinav Jauhri",https://arxiv.org/abs/2407.21783,https://arxiv.org/pdf/2407.21783.pdf,https://github.com/meta-llama/llama3,39500,https://huggingface.co/papers/2407.21783,950,Hugging Face Daily Papers,True,63250.0,2024-07-31T00:00:00Z,2026-09-12T07:57:10.462586+00:00
1.0,RESEARCH_PAPER,6,DeepSeek-V3 Technical Report,"DeepSeek-AI, Aixin Liu, Bei Feng, Bing Xue, Boya Wang",https://arxiv.org/abs/2412.19437,https://arxiv.org/pdf/2412.19437.pdf,https://github.com/deepseek-ai/DeepSeek-V3,34800,https://huggingface.co/papers/2412.19437,890,Hugging Face Daily Papers,True,57050.0,2024-12-27T00:00:00Z,2026-09-12T07:57:10.462563+00:00
1.0,RESEARCH_PAPER,7,LoRA: Low-Rank Adaptation of Large Language Models,"Edward J. Hu, Yelong Shen, Phillip Wallis, Zeyuan Allen-Zhu, Yuanzhi Li, Shean Wang, Lu Wang, Weizhu Chen",https://arxiv.org/abs/2106.09685,https://arxiv.org/pdf/2106.09685.pdf,https://github.com/microsoft/LoRA,41200,https://huggingface.co/papers/2106.09685,510,ArXiv,True,53950.0,2021-06-17T00:00:00Z,2026-09-12T07:57:10.462734+00:00
1.0,RESEARCH_PAPER,8,Efficient Memory Management for Large Language Model Serving with PagedAttention (vLLM),"Woosuk Kwon, Zhuohan Li, Siyuan Zhuang, Ying Sheng, Lianmin Zheng, Cody Hao Yu, Joseph E. Gonzalez, Hao Zhang, Ion Stoica",https://arxiv.org/abs/2309.06180,https://arxiv.org/pdf/2309.06180.pdf,https://github.com/vllm-project/vllm,38900,https://huggingface.co/papers/2309.06180,580,Hugging Face Daily Papers,True,53400.0,2023-09-12T00:00:00Z,2026-09-12T07:57:10.462667+00:00
1.0,RESEARCH_PAPER,9,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversation Framework,"Qingyun Wu, Gagan Bansal, Jieyu Zhang, Yiran Wu, Beibin Li, Ernie Zhu, Chi Wang",https://arxiv.org/abs/2308.08155,https://arxiv.org/pdf/2308.08155.pdf,https://github.com/microsoft/autogen,36200,https://huggingface.co/papers/2308.08155,340,Papers with Code,True,44700.0,2023-08-16T00:00:00Z,2026-09-12T07:57:10.462722+00:00
1.0,RESEARCH_PAPER,10,Qwen2.5 Technical Report,"Qwen Team, An Yang, Baosong Yang, Binyuan Hui, Bo Zheng, Bowen Yu",https://arxiv.org/abs/2412.15115,https://arxiv.org/pdf/2412.15115.pdf,https://github.com/QwenLM/Qwen2.5,21800,https://huggingface.co/papers/2412.15115,670,Hugging Face Daily Papers,True,38550.0,2024-12-19T00:00:00Z,2026-09-12T07:57:10.462677+00:00
1.0,RESEARCH_PAPER,11,LLaVA: Visual Instruction Tuning,"Haotian Liu, Chunyuan Li, Qingyang Wu, Yong Jae Lee",https://arxiv.org/abs/2304.08485,https://arxiv.org/pdf/2304.08485.pdf,https://github.com/haotian-liu/LLaVA,24300,https://huggingface.co/papers/2304.08485,420,Hugging Face Daily Papers,True,34800.0,2023-04-17T00:00:00Z,2026-09-12T07:57:10.462804+00:00
1.0,RESEARCH_PAPER,12,The Era of 1-bit LLMs: All Large Language Models are in 1.58 Bits (BitNet b1.58),"Shuming Ma, Hongyu Wang, Lingxiao Ma, Lei Wang, Wenhui Wang, Saksham Bhatia, Jilong Xue, Furu Wei",https://arxiv.org/abs/2402.17764,https://arxiv.org/pdf/2402.17764.pdf,https://github.com/microsoft/unilm,16900,https://huggingface.co/papers/2402.17764,520,Hugging Face Daily Papers,True,29900.0,2024-02-27T00:00:00Z,2026-09-12T07:57:10.462758+00:00
1.0,RESEARCH_PAPER,13,FlashAttention-2: Faster Attention with Better Parallelism and Work Partitioning,Tri Dao,https://arxiv.org/abs/2307.08691,https://arxiv.org/pdf/2307.08691.pdf,https://github.com/Dao-AILab/flash-attention,19400,https://huggingface.co/papers/2307.08691,410,Hugging Face Daily Papers,True,29650.0,2023-07-17T00:00:00Z,2026-09-12T07:57:10.462653+00:00
1.0,RESEARCH_PAPER,14,SAM 2: Segment Anything in Images and Videos,"Nikhila Ravi, Valentin Gabeur, Yuan-Ting Hu, Ronghang Hu, Chaitanya Ryali, Tomaž Martinčič",https://arxiv.org/abs/2408.00714,https://arxiv.org/pdf/2408.00714.pdf,https://github.com/facebookresearch/segment-anything-2,18900,https://huggingface.co/papers/2408.00714,430,Hugging Face Daily Papers,True,29650.0,2024-07-29T00:00:00Z,2026-09-12T07:57:10.462707+00:00
1.0,RESEARCH_PAPER,15,Mistral 7B,"Albert Q. Jiang, Alexandre Sablayrolles, Arthur Mensch, Chris Bamford, Devendra Singh Chaplot",https://arxiv.org/abs/2310.06825,https://arxiv.org/pdf/2310.06825.pdf,https://github.com/mistralai/mistral-src,16500,https://huggingface.co/papers/2310.06825,480,Hugging Face Daily Papers,True,28500.0,2023-10-10T00:00:00Z,2026-09-12T07:57:10.462687+00:00
1.0,RESEARCH_PAPER,16,Mamba: Linear-Time Sequence Modeling with Selective State Spaces,"Albert Gu, Tri Dao",https://arxiv.org/abs/2312.00752,https://arxiv.org/pdf/2312.00752.pdf,https://github.com/state-spaces/mamba,18200,https://huggingface.co/papers/2312.00752,360,Hugging Face Daily Papers,True,27200.0,2023-12-01T00:00:00Z,2026-09-12T07:57:10.462697+00:00
1.0,RESEARCH_PAPER,17,Prime Agent: A Self-Improving RLM Harness,"Seth Karten, Alex L. Zhang, Kevin Thomas, Sebastian Müller, Elie Bakouch, Daniel Auras, Mika Senghaas, Fares Obeid, Konstantin Dunas, Johannes Hagemann, Sami Jaghouar",https://arxiv.org/abs/2608.23552,https://arxiv.org/pdf/2608.23552.pdf,https://github.com/PrimeIntellect-ai/prime-agent,20579,https://huggingface.co/papers/2608.23552,52,Hugging Face Daily Papers,True,21879.0,2026-08-24T00:00:00.000Z,2026-09-12T07:57:26.676357+00:00
1.0,RESEARCH_PAPER,18,SGLang: Efficient Execution of Structured Language Model Programs,"Lianmin Zheng, Liangsheng Yin, Zhiqiang Xie, Jeff Huang, Chuyue Sun, Cody Hao Yu, Shiyi Cao, Christos Kozyrakis, Ion Stoica, Joseph E. Gonzalez, Clark Barrett, Ying Sheng",https://arxiv.org/abs/2312.07104,https://arxiv.org/pdf/2312.07104.pdf,https://github.com/sgl-project/sglang,12800,https://huggingface.co/papers/2312.07104,310,Hugging Face Daily Papers,True,20550.0,2023-12-12T00:00:00Z,2026-09-12T07:57:10.462792+00:00
1.0,RESEARCH_PAPER,19,Direct Preference Optimization: Your Language Model is Secretly a Reward Model (DPO),"Rafael Rafailov, Archit Sharma, Eric Mitchell, Stefano Ermon, Christopher D. Manning, Chelsea Finn",https://arxiv.org/abs/2305.18290,https://arxiv.org/pdf/2305.18290.pdf,https://github.com/eric-mitchell/direct-preference-optimization,8400,https://huggingface.co/papers/2305.18290,390,Hugging Face Daily Papers,True,18150.0,2023-05-29T00:00:00Z,2026-09-12T07:57:10.462746+00:00
1.0,RESEARCH_PAPER,20,ColPali: Efficient Document Retrieval with Vision Language Models,"Manuel Faysse, Hugues Sibille, Tony Wu, Bilel Omrani, Gautier Viaud, Celine Hudelot, Pierre Colombo",https://arxiv.org/abs/2407.01449,https://arxiv.org/pdf/2407.01449.pdf,https://github.com/illuin-tech/colpali,5400,https://huggingface.co/papers/2407.01449,490,Hugging Face Daily Papers,True,17650.0,2024-07-01T00:00:00Z,2026-09-12T07:57:10.462770+00:00
1.0,RESEARCH_PAPER,21,FreeToken: Efficient Edge-Native MoE Serving with Bandwidth-Adaptive Execution,"Shuo Yang, Xiaoze Fan, Melissa Pan, Haocheng Xi, Zhe Wang, Shanlin Sun, Kurt Keutzer, Song Han, Matei Zaharia, Chenfeng Xu, Ion Stoica",https://arxiv.org/abs/2608.16157,https://arxiv.org/pdf/2608.16157.pdf,https://github.com/FlashML-org/FreeToken,12517,https://huggingface.co/papers/2608.16157,109,Hugging Face Daily Papers,True,15242.0,2026-08-17T00:00:00.000Z,2026-09-12T07:57:29.577054+00:00
1.0,RESEARCH_PAPER,22,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,"Carlos E. Jimenez, John Yang, Alexander Wettig, Shunyu Yao, Kexin Pei, Ofir Press, Karthik Narasimhan",https://arxiv.org/abs/2310.06770,https://arxiv.org/pdf/2310.06770.pdf,https://github.com/princeton-nlp/SWE-bench,7100,https://huggingface.co/papers/2310.06770,280,Hugging Face Daily Papers,True,14100.0,2023-10-10T00:00:00Z,2026-09-12T07:57:10.462783+00:00
1.0,RESEARCH_PAPER,23,Repo-To-Skill: Distilling GitHub Repositories Into AI4AI Skills,"Jianlyu Chen, Yuyang Hu, Hongjin Qian, Jiawei Liu, Wenqing Wei, Xiaolong Chen, Defu Lian, Zhicheng Dou, Chaozhuo Li, Qiwei Ye, Zheng Liu",https://arxiv.org/abs/2609.02749,https://arxiv.org/pdf/2609.02749.pdf,https://github.com/VectorSpaceLab/AREX-Skill,269,https://huggingface.co/papers/2609.02749,543,Hugging Face Daily Papers,True,13844.0,2026-09-02T00:00:00.000Z,2026-09-12T07:57:21.962639+00:00
1.0,RESEARCH_PAPER,24,StudentSim: Training LLM-based Student Simulators,"Ke Yang, Chenglong Wang, Michel Galley, Chandan Singh, Jeevana Priya Inala, ChengXiang Zhai, Jianfeng Gao",https://arxiv.org/abs/2609.01591,https://arxiv.org/pdf/2609.01591.pdf,https://github.com/microsoft/StudentSim,43,https://huggingface.co/papers/2609.01591,487,Hugging Face Daily Papers,True,12218.0,2026-09-01T00:00:00.000Z,2026-09-12T07:57:22.572554+00:00
1.0,RESEARCH_PAPER,25,Scaling Automatic Research Agents via World Models,"Xiyuan Yang, Sheikh Sarwar, Jingru Cheng, Zhan Shi, Duanshun Li, Huiyuan Chen, Haiyang Zhang, Xing Fan, Chenlei Guo, Jingrui He, Zhenyu Liao",https://arxiv.org/abs/2608.12564,https://arxiv.org/pdf/2608.12564.pdf,https://github.com/xiyuanyang45/WMRL,14,https://huggingface.co/papers/2608.12564,440,Hugging Face Daily Papers,True,11014.0,2026-08-29T00:00:00.000Z,2026-09-12T07:57:11.679569+00:00
1.0,RESEARCH_PAPER,26,NeoHorse-1: Towards Recursive Self-Improvement via Agentic Post-Training with Routing Harness,"NeoHorse Team, Guoliang Cao, Guohao Dai, Tianyu Guo, Kai Han, Hailin Hu, Zihan Jiang, Xiang Kuang, Boxun Li, Yulong Li, Zehua Pei, Yuchuan Tian, Jiamin Wang, Yu Wang, Yunhe Wang, Yihong Wu, Haiyang Xu, Shuo Zhang, Hang Zhou, Siyang Cheng, Jiayu Fan, Wei He, Qingrui Jiao, Hongguang Li, Zhiyuan Li, Runke Liu, Xi Liu, Xinchen Liu, Sinno Jialin Pan, Yi Ren, Liuyang Song, Chenyu Wang, Bei Yu, Quanlu Zhang, Xiangyu Zhang, Mengyu Zheng, Yingjie Zong",https://arxiv.org/abs/2609.08183,https://arxiv.org/pdf/2609.08183.pdf,https://github.com/TokenRhythm/NeoHorse,161,https://huggingface.co/papers/2609.08183,398,Hugging Face Daily Papers,True,10111.0,2026-09-08T00:00:00.000Z,2026-09-12T07:57:12.332146+00:00
1.0,RESEARCH_PAPER,27,Compile by Training: Turning Natural-Language Specifications into Local Neural Functions,"Yuntian Deng, Pengyu Nie, Stuart Shieber",https://arxiv.org/abs/2609.04199,https://arxiv.org/pdf/2609.04199.pdf,https://github.com/programasweights/compile-by-training,14,https://huggingface.co/papers/2609.04199,380,Hugging Face Daily Papers,True,9514.0,2026-09-03T00:00:00.000Z,2026-09-12T07:57:21.337600+00:00
1.0,RESEARCH_PAPER,28,Apodex 1.1: Scaling Agentic Intelligence for Complex Work,"Apodex Team, B. An, B. Li, B. Wang, B. Zhang, B. L. Wang, C. Feng, C. Wei, C. Xue, C. Zhang, D. Ng, D. Ye, E. Min, F. Chen, F. Liu, F. Yang, F. Ye, H. Xu, H. Yang, H. Ye, H. Zhang, H. Zhao, J. Li, J. Lin, J. Xia, K. Jin, K. Wang, K. Yang, L. Bing, L. Lei, L. Su, Le. Wang, Lu. Wang, N. Wang, Q. Ren, Q. Yang, R. Li, S. Bai, S. Du, S. Li, S. Lin, S. Nie, S. Wang, S. Zhang, S. Z. Wang, Ta. Q. Fang, Ti. Q. Fang, W. Fang, W. Li, W. Zhang, X. Chen, X. Li, X. Tang, X. Wang, X. Xu, X. Zhang, X. Q. Wang, X. Y. Wang, Y. Deng, Y. Gao, Y. Hu, Y. Li, Y. Sui, Y. Wang, Y. Xiao, Y. Zhang, Z. Chen, Z. Cheng, Z. Feng, Z. Liang, Z. Zhang",https://arxiv.org/abs/2608.23283,https://arxiv.org/pdf/2608.23283.pdf,https://github.com/ApodexAI/FrontierAgent,2653,https://huggingface.co/papers/2608.23283,207,Hugging Face Daily Papers,True,7828.0,2026-08-24T00:00:00.000Z,2026-09-12T07:57:26.676299+00:00
1.0,RESEARCH_PAPER,29,EnvHarness: Awakening Static Worlds for Agent Learning,"Chengsong Huang, Zifeng Wang, Rujun Han, Jun Yan, Yanfei Chen, Zoey CuiZhu, Ke Jiang, Peng Xia, Han Yu, Yufan Zhuang, Yifei Ming, Jiaqi Pan, Bhavana Dalvi Mishra, Jiaxin Huang, Burak Gokturk, Tomas Pfister, Chen-Yu Lee",https://arxiv.org/abs/2608.19880,https://arxiv.org/pdf/2608.19880.pdf,https://github.com/google-research/envharness,540,https://huggingface.co/papers/2608.19880,275,Hugging Face Daily Papers,True,7415.0,2026-08-20T00:00:00.000Z,2026-09-12T07:57:28.369336+00:00
